time,vehicle_id,speed,acceleration,lane_position,lane_index
10.4,normal_flow.1,10.164,-0.06,52.442,2
10.4,normal_flow.2,7.321,2.311,16.257,2
10.5,normal_flow.0,5.787,2.462,5.736,0
10.5,normal_flow.1,10.146,-0.17,53.456,2
10.5,normal_flow.2,7.548,2.272,17.012,2
10.6,normal_flow.0,6.03,2.435,0.309,0
10.6,normal_flow.1,10.118,-0.281,54.468,2
10.6,normal_flow.2,7.771,2.231,17.789,2
10.7,normal_flow.0,6.271,2.406,0.936,0
10.7,normal_flow.1,10.079,-0.393,55.476,2
10.7,normal_flow.2,7.99,2.186,18.588,2
10.8,normal_flow.0,6.508,2.373,1.587,0
10.8,normal_flow.1,10.029,-0.505,56.479,2
10.8,normal_flow.2,8.203,2.137,19.408,2
10.9,normal_flow.0,6.742,2.336,2.261,0
10.9,normal_flow.1,9.967,-0.619,57.476,2
10.9,normal_flow.2,8.412,2.085,20.249,2
11.0,normal_flow.0,6.971,2.296,2.958,0
11.0,normal_flow.1,9.893,-0.734,58.465,2
11.0,normal_flow.2,8.615,2.03,21.111,2
11.1,normal_flow.0,7.197,2.253,3.678,0
11.1,normal_flow.1,9.808,-0.85,59.446,2
11.1,normal_flow.2,8.812,1.971,21.992,2
11.2,normal_flow.0,7.417,2.206,4.419,0
11.2,normal_flow.1,9.712,-0.967,60.417,2
11.2,normal_flow.2,9.003,1.909,22.892,2
11.3,normal_flow.0,7.633,2.155,5.183,0
11.3,normal_flow.1,9.603,-1.085,61.377,2
11.3,normal_flow.2,9.187,1.844,23.811,2
11.3,normal_flow.3,0.0,0.0,5.1,0
11.4,normal_flow.0,7.843,2.101,5.967,0
11.4,normal_flow.1,9.483,-1.205,62.325,2
11.4,normal_flow.2,9.365,1.775,24.747,2
11.4,normal_flow.3,0.26,2.6,5.126,0
11.5,normal_flow.0,8.047,2.044,6.772,0
11.5,normal_flow.1,9.35,-1.326,63.261,2
11.5,normal_flow.2,9.535,1.704,25.701,2
11.5,normal_flow.3,0.52,2.6,5.178,0
11.6,normal_flow.0,8.246,1.984,7.596,0
11.6,normal_flow.1,9.205,-1.448,64.181,2
11.6,normal_flow.2,9.698,1.629,26.671,2
11.6,normal_flow.3,0.78,2.6,5.256,1
11.7,normal_flow.0,8.438,1.921,8.44,0
11.7,normal_flow.1,9.048,-1.57,65.086,2
11.7,normal_flow.2,9.853,1.552,27.656,2
11.7,normal_flow.3,1.04,2.6,5.36,1
11.8,normal_flow.0,8.623,1.855,9.302,0
11.8,normal_flow.1,8.879,-1.693,65.974,2
11.8,normal_flow.2,10.001,1.473,28.656,2
11.8,normal_flow.3,1.3,2.599,5.49,1
11.9,normal_flow.0,8.802,1.787,10.182,0
11.9,normal_flow.1,8.698,-1.815,66.844,2
11.9,normal_flow.2,10.14,1.391,29.67,2
11.9,normal_flow.3,1.56,2.599,5.646,1
12.0,normal_flow.0,8.974,1.718,11.08,0
12.0,normal_flow.1,8.504,-1.936,67.694,2
12.0,normal_flow.2,10.27,1.307,30.697,2
12.0,normal_flow.3,1.82,2.598,5.828,1
12.1,normal_flow.0,9.138,1.647,11.994,0
12.1,normal_flow.1,8.298,-2.056,68.524,2
12.1,normal_flow.2,10.392,1.221,31.736,2
12.1,normal_flow.3,2.079,2.597,6.036,2
12.2,normal_flow.0,9.296,1.575,12.923,0
12.2,normal_flow.1,8.081,-2.172,69.332,2
12.2,normal_flow.2,10.506,1.133,32.787,2
12.2,normal_flow.3,2.335,2.561,6.269,2
12.3,normal_flow.0,9.446,1.503,13.868,0
12.3,normal_flow.1,7.853,-2.285,70.117,2
12.3,normal_flow.2,10.61,1.044,33.848,2
12.3,normal_flow.3,2.592,2.563,6.529,2
12.4,normal_flow.0,9.589,1.43,14.827,0
12.4,normal_flow.1,7.613,-2.392,70.878,2
12.4,normal_flow.2,10.705,0.947,34.918,2
12.4,normal_flow.3,2.848,2.565,6.813,2
12.5,normal_flow.0,9.725,1.357,15.799,0
12.5,normal_flow.1,7.364,-2.493,71.615,2
12.5,normal_flow.2,10.789,0.837,35.997,2
12.5,normal_flow.3,3.105,2.566,7.124,2
12.6,normal_flow.0,9.853,1.286,16.785,0
12.6,normal_flow.1,7.106,-2.586,72.325,2
12.6,normal_flow.2,10.861,0.723,37.083,2
12.6,normal_flow.3,3.361,2.567,7.46,2
12.7,normal_flow.0,9.975,1.215,17.782,0
12.7,normal_flow.1,6.839,-2.67,73.009,2
12.7,normal_flow.2,10.921,0.606,38.175,2
12.7,normal_flow.3,3.618,2.567,7.822,2
12.8,normal_flow.0,10.089,1.145,18.791,0
12.8,normal_flow.1,6.564,-2.743,73.666,2
12.8,normal_flow.2,10.97,0.485,39.272,2
12.8,normal_flow.3,3.875,2.566,8.209,2
12.9,normal_flow.0,10.197,1.077,19.811,0
12.9,normal_flow.1,6.284,-2.803,74.294,2
12.9,normal_flow.2,11.006,0.36,40.373,2
12.9,normal_flow.3,4.131,2.565,8.622,2
13.0,normal_flow.0,10.298,1.011,20.841,0
13.0,normal_flow.1,5.999,-2.851,74.894,2
13.0,normal_flow.2,11.006,0.001,41.474,2
13.0,normal_flow.3,4.387,2.562,9.061,2
13.1,normal_flow.0,10.393,0.947,0.76,1
13.1,normal_flow.1,5.71,-2.885,75.465,2
13.1,normal_flow.2,10.996,-0.101,42.573,2
13.1,normal_flow.3,4.643,2.556,9.525,2
13.2,normal_flow.0,10.588,1.955,1.819,1
13.2,normal_flow.1,5.42,-2.903,76.007,2
13.2,normal_flow.2,10.976,-0.204,43.671,2
13.2,normal_flow.3,4.898,2.547,10.015,2
13.3,normal_flow.0,10.779,1.905,2.897,1
13.3,normal_flow.1,5.129,-2.906,76.52,2
13.3,normal_flow.2,10.964,-0.117,44.767,2
13.3,normal_flow.3,5.151,2.536,10.53,2
13.4,normal_flow.0,10.964,1.853,3.993,1
13.4,normal_flow.1,4.84,-2.894,0.204,0
13.4,normal_flow.2,10.938,-0.259,45.861,2
13.4,normal_flow.3,5.404,2.524,11.071,2
13.5,normal_flow.0,11.144,1.8,5.107,1
13.5,normal_flow.1,4.545,-2.948,0.659,0
13.5,normal_flow.2,10.898,-0.405,46.951,2
13.5,normal_flow.3,5.654,2.508,11.636,2
13.6,normal_flow.0,11.319,1.747,6.239,1
13.6,normal_flow.1,4.26,-2.857,1.085,0
13.6,normal_flow.2,10.842,-0.555,48.035,2
13.6,normal_flow.3,5.903,2.49,12.226,2
13.7,normal_flow.0,11.488,1.692,7.388,1
13.7,normal_flow.1,3.983,-2.769,1.483,0
13.7,normal_flow.2,10.771,-0.706,49.112,2
13.7,normal_flow.3,6.151,2.47,12.842,2
13.8,normal_flow.0,11.652,1.636,8.553,1
13.8,normal_flow.1,3.715,-2.68,1.854,0
13.8,normal_flow.2,10.686,-0.857,50.181,2
13.8,normal_flow.3,6.395,2.447,13.481,2
13.9,normal_flow.0,11.81,1.58,9.734,1
13.9,normal_flow.1,3.968,2.535,2.251,0
13.9,normal_flow.2,10.585,-1.009,51.239,2
13.9,normal_flow.3,6.637,2.422,14.145,2
14.0,normal_flow.0,11.962,1.524,10.93,1
14.0,normal_flow.1,4.22,2.522,2.673,0
14.0,normal_flow.2,10.489,-0.959,52.288,2
14.0,normal_flow.3,6.878,2.402,14.833,2
14.1,normal_flow.0,12.109,1.467,12.141,1
14.1,normal_flow.1,4.471,2.506,3.12,0
14.1,normal_flow.2,10.398,-0.909,53.328,2
14.1,normal_flow.3,7.115,2.379,15.544,2
14.2,normal_flow.0,12.25,1.411,13.366,1
14.2,normal_flow.1,4.72,2.488,3.592,0
14.2,normal_flow.2,10.312,-0.86,54.359,2
14.2,normal_flow.3,7.35,2.348,16.279,2
14.3,normal_flow.0,12.385,1.354,14.605,1
14.3,normal_flow.1,4.966,2.465,4.089,0
14.3,normal_flow.2,10.231,-0.81,55.382,2
14.3,normal_flow.3,7.582,2.315,17.037,2
14.4,normal_flow.0,12.515,1.298,15.856,1
14.4,normal_flow.1,5.21,2.439,4.61,0
14.4,normal_flow.2,10.155,-0.759,56.398,2
14.4,normal_flow.3,7.81,2.278,17.818,2
14.5,normal_flow.0,12.639,1.243,17.12,1
14.5,normal_flow.1,5.451,2.409,5.155,0
14.5,normal_flow.2,10.084,-0.708,57.406,2
14.5,normal_flow.3,8.033,2.238,18.622,2
14.6,normal_flow.0,12.758,1.188,18.396,1
14.6,normal_flow.1,5.689,2.375,5.724,0
14.6,normal_flow.2,10.019,-0.657,58.408,2
14.6,normal_flow.3,8.253,2.195,19.447,2
14.7,normal_flow.0,12.872,1.134,19.683,1
14.7,normal_flow.1,5.922,2.336,0.286,0
14.7,normal_flow.2,9.943,-0.755,59.402,2
14.7,normal_flow.3,8.468,2.149,20.294,2
14.8,normal_flow.0,12.98,1.081,20.981,1
14.8,normal_flow.1,6.151,2.293,0.901,0
14.8,normal_flow.2,9.853,-0.898,60.388,2
14.8,normal_flow.3,8.678,2.099,21.161,2
14.9,normal_flow.0,13.083,1.03,22.289,1
14.9,normal_flow.1,6.376,2.245,1.539,0
14.9,normal_flow.2,9.749,-1.043,61.363,2
14.9,normal_flow.3,8.882,2.046,22.05,2
15.0,normal_flow.0,13.181,0.979,23.607,1
15.0,normal_flow.1,6.595,2.191,2.198,0
15.0,normal_flow.2,9.63,-1.188,62.326,2
15.0,normal_flow.3,9.081,1.989,22.958,2
15.0,normal_flow.4,0.0,0.0,5.1,0
15.1,normal_flow.0,13.274,0.93,24.935,1
15.1,normal_flow.1,6.808,2.133,2.879,0
15.1,normal_flow.2,9.497,-1.334,63.275,2
15.1,normal_flow.3,9.274,1.929,23.885,2
15.1,normal_flow.4,0.26,2.6,5.126,0
15.2,normal_flow.0,13.362,0.883,26.271,1
15.2,normal_flow.1,7.015,2.071,3.581,0
15.2,normal_flow.2,9.349,-1.479,64.21,2
15.2,normal_flow.3,9.461,1.866,24.831,2
15.2,normal_flow.4,0.52,2.6,5.178,1
15.3,normal_flow.0,13.445,0.836,27.615,1
15.3,normal_flow.1,7.216,2.005,4.302,0
15.3,normal_flow.2,9.187,-1.623,65.129,2
15.3,normal_flow.3,9.641,1.799,25.795,2
15.3,normal_flow.4,0.78,2.6,5.256,1
15.4,normal_flow.0,13.525,0.792,28.968,1
15.4,normal_flow.1,7.409,1.934,5.043,0
15.4,normal_flow.2,9.01,-1.765,66.03,2
15.4,normal_flow.3,9.813,1.728,26.777,2
15.4,normal_flow.4,1.04,2.6,5.36,1
15.5,normal_flow.0,13.6,0.749,30.328,1
15.5,normal_flow.1,7.595,1.861,5.803,0
15.5,normal_flow.2,8.82,-1.905,66.912,2
15.5,normal_flow.3,9.979,1.655,27.775,2
15.5,normal_flow.4,1.3,2.599,5.49,1
15.6,normal_flow.0,13.67,0.708,31.695,1
15.6,normal_flow.1,7.774,1.785,6.58,0
15.6,normal_flow.2,8.615,-2.041,67.773,2
15.6,normal_flow.3,10.137,1.578,28.788,2
15.6,normal_flow.4,1.56,2.599,5.646,1
15.7,normal_flow.0,13.737,0.668,33.069,1
15.7,normal_flow.1,7.945,1.706,7.375,0
15.7,normal_flow.2,8.398,-2.173,68.613,2
15.7,normal_flow.3,10.286,1.498,29.817,2
15.7,normal_flow.4,1.819,2.598,5.828,2
15.8,normal_flow.0,13.8,0.63,34.449,1
15.8,normal_flow.1,8.107,1.626,8.185,0
15.8,normal_flow.2,8.168,-2.3,69.43,2
15.8,normal_flow.3,10.428,1.415,30.86,2
15.8,normal_flow.4,2.075,2.554,6.035,2
15.9,normal_flow.0,13.859,0.593,35.835,1
15.9,normal_flow.1,8.262,1.544,9.011,0
15.9,normal_flow.2,7.926,-2.419,70.223,2
15.9,normal_flow.3,10.561,1.329,31.916,2
15.9,normal_flow.4,2.331,2.558,6.268,2
16.0,normal_flow.0,13.915,0.559,37.226,1
16.0,normal_flow.1,8.408,1.462,9.852,0
16.0,normal_flow.2,7.673,-2.53,70.99,2
16.0,normal_flow.3,10.685,1.241,32.984,2
16.0,normal_flow.4,2.587,2.56,6.527,2
16.1,normal_flow.0,13.968,0.526,38.623,1
16.1,normal_flow.1,8.546,1.38,10.707,0
16.1,normal_flow.2,7.41,-2.632,71.731,2
16.1,normal_flow.3,10.8,1.15,34.064,2
16.1,normal_flow.4,2.843,2.562,6.811,2
16.2,normal_flow.0,14.017,0.494,40.025,1
16.2,normal_flow.1,8.676,1.299,11.574,0
16.2,normal_flow.2,7.138,-2.723,72.445,2
16.2,normal_flow.3,10.906,1.057,35.155,2
16.2,normal_flow.4,3.099,2.563,7.121,2
16.3,normal_flow.0,14.064,0.464,41.431,1
16.3,normal_flow.1,8.798,1.218,12.454,0
16.3,normal_flow.2,6.858,-2.802,73.131,2
16.3,normal_flow.3,11.0,0.941,36.255,2
16.3,normal_flow.4,3.356,2.564,7.457,2
16.4,normal_flow.0,14.107,0.436,42.842,1
16.4,normal_flow.1,8.912,1.14,13.345,0
16.4,normal_flow.2,6.571,-2.868,73.788,2
16.4,normal_flow.3,11.081,0.816,37.363,2
16.4,normal_flow.4,3.612,2.563,7.818,2
16.5,normal_flow.0,14.148,0.409,44.256,1
16.5,normal_flow.1,9.018,1.063,14.247,0
16.5,normal_flow.2,6.279,-2.92,74.415,2
16.5,normal_flow.3,11.15,0.685,38.478,2
16.5,normal_flow.4,3.868,2.562,8.205,2
16.6,normal_flow.0,14.186,0.383,45.675,1
16.6,normal_flow.1,9.117,0.989,15.159,0
16.6,normal_flow.2,5.983,-2.957,75.014,2
16.6,normal_flow.3,11.205,0.548,39.598,2
16.6,normal_flow.4,4.124,2.561,8.617,2
16.7,normal_flow.0,14.222,0.359,47.097,1
16.7,normal_flow.1,9.209,0.918,16.08,0
16.7,normal_flow.2,5.685,-2.979,75.582,2
16.7,normal_flow.3,11.245,0.407,40.723,2
16.7,normal_flow.4,4.38,2.558,9.055,2
16.8,normal_flow.0,14.256,0.336,48.523,1
16.8,normal_flow.1,9.294,0.85,17.009,0
16.8,normal_flow.2,5.387,-2.984,76.121,2
16.8,normal_flow.3,11.271,0.26,41.85,2
16.8,normal_flow.4,4.635,2.552,9.519,2
16.9,normal_flow.0,14.287,0.315,49.952,1
16.9,normal_flow.1,9.372,0.785,17.946,0
16.9,normal_flow.2,5.089,-2.974,76.63,2
16.9,normal_flow.3,11.282,0.108,42.978,2
16.9,normal_flow.4,4.889,2.542,10.008,2
17.0,normal_flow.0,14.317,0.295,51.383,1
17.0,normal_flow.1,9.444,0.723,18.891,0
17.0,normal_flow.2,4.794,-2.949,0.309,0
17.0,normal_flow.3,11.277,-0.047,44.106,2
17.0,normal_flow.4,5.142,2.53,10.522,2
17.1,normal_flow.0,14.344,0.276,52.818,1
17.1,normal_flow.1,9.511,0.665,19.842,0
17.1,normal_flow.2,4.498,-2.966,0.759,0
17.1,normal_flow.3,11.257,-0.207,45.232,2
17.1,normal_flow.4,5.394,2.514,11.061,2
17.2,normal_flow.0,14.37,0.258,54.255,1
17.2,normal_flow.1,9.572,0.611,20.799,0
17.2,normal_flow.2,4.21,-2.877,1.18,0
17.2,normal_flow.3,11.22,-0.371,46.354,2
17.2,normal_flow.4,5.644,2.497,11.626,2
17.3,normal_flow.0,14.394,0.241,55.694,1
17.3,normal_flow.1,9.628,0.56,0.642,1
17.3,normal_flow.2,3.931,-2.786,1.573,0
17.3,normal_flow.3,11.166,-0.537,47.47,2
17.3,normal_flow.4,5.891,2.477,12.215,2
17.4,normal_flow.0,14.417,0.225,57.136,1
17.4,normal_flow.1,9.808,1.795,1.622,1
17.4,normal_flow.2,4.181,2.5,1.991,0
17.4,normal_flow.3,11.095,-0.705,48.58,2
17.4,normal_flow.4,6.137,2.455,12.829,2
17.5,normal_flow.0,14.438,0.21,58.58,1
17.5,normal_flow.1,9.981,1.733,2.621,1
17.5,normal_flow.2,4.43,2.488,2.434,0
17.5,normal_flow.3,11.027,-0.688,49.683,2
17.5,normal_flow.4,6.38,2.437,13.467,2
17.6,normal_flow.0,14.457,0.196,60.025,1
17.6,normal_flow.1,10.148,1.67,3.635,1
17.6,normal_flow.2,4.678,2.473,2.902,0
17.6,normal_flow.3,10.96,-0.669,50.778,2
17.6,normal_flow.4,6.622,2.415,14.129,2
17.7,normal_flow.0,14.476,0.183,61.473,1
17.7,normal_flow.1,10.308,1.606,4.666,1
17.7,normal_flow.2,4.923,2.456,3.394,0
17.7,normal_flow.3,10.895,-0.647,51.868,2
17.7,normal_flow.4,6.861,2.387,14.815,2
17.8,normal_flow.0,14.493,0.171,62.922,1
17.8,normal_flow.1,10.463,1.541,5.712,1
17.8,normal_flow.2,5.167,2.436,3.911,0
17.8,normal_flow.3,10.833,-0.623,52.951,2
17.8,normal_flow.4,7.096,2.356,15.524,2
17.9,normal_flow.0,14.509,0.159,64.373,1
17.9,normal_flow.1,10.61,1.476,6.773,1
17.9,normal_flow.2,5.408,2.412,4.452,0
17.9,normal_flow.3,10.773,-0.597,54.029,2
17.9,normal_flow.4,7.328,2.323,16.257,2
18.0,normal_flow.0,14.523,0.148,65.825,1
18.0,normal_flow.1,10.751,1.411,7.849,1
18.0,normal_flow.2,5.646,2.385,5.017,0
18.0,normal_flow.3,10.716,-0.569,55.1,2
18.0,normal_flow.4,7.557,2.286,17.013,2
18.1,normal_flow.0,14.537,0.138,67.279,1
18.1,normal_flow.1,10.886,1.346,8.937,1
